s,carat,cut,color,clarity,depth,table,price,x,y,z
2743,0.61,Ideal,F,VVS2,61.1,57.0,3248,5.47,5.49,3.34
2750,0.76,Ideal,H,VVS2,61.0,56.0,3249,5.85,5.91,3.59
2756,0.72,Premium,F,VVS2,61.1,58.0,3250,5.78,5.84,3.55
2819,1.0,Good,J,VVS2,63.7,57.0,3265,6.34,6.31,4.03
2823,0.81,Premium,H,VVS2,62.8,58.0,3266,5.92,5.89,3.71
2832,0.7,Good,D,VVS2,63.3,54.0,3267,5.6,5.64,3.56
2835,0.78,Ideal,I,VVS2,62.4,56.0,3267,5.87,5.9,3.67
2862,0.7,Very Good,F,VVS2,61.6,63.0,3275,5.65,5.69,3.49
2886,0.71,Very Good,G,VVS2,62.8,58.0,3281,5.69,5.75,3.59
2908,0.52,Ideal,D,VVS2,61.5,55.0,3284,5.19,5.22,3.2
2925,0.73,Very Good,G,VVS2,61.4,58.0,3288,5.83,5.86,3.59
2927,0.9,Fair,I,VVS2,60.9,66.0,3288,6.1,6.12,3.72
2954,0.7,Very Good,E,VVS2,60.7,56.0,3295,5.77,5.82,3.52
2956,0.72,Ideal,G,VVS2,61.0,56.0,3295,5.8,5.84,3.55
2960,0.7,Fair,D,VVS2,58.5,62.0,3296,5.72,5.81,3.37
2974,0.62,Ideal,F,VVS2,61.4,56.0,3299,5.46,5.5,3.37
2981,0.77,Premium,G,VVS2,60.8,59.0,3299,5.96,5.92,3.61
3019,0.71,Ideal,G,VVS2,61.7,57.0,3307,5.72,5.74,3.53
3020,0.71,Ideal,G,VVS2,61.3,56.0,3307,5.75,5.77,3.53
3033,0.26,Very Good,H,VVS2,63.4,55.0,565,4.06,4.05,2.57
3034,0.26,Premium,H,VVS2,59.8,61.0,565,4.18,4.15,2.49
3036,0.31,Ideal,G,VVS2,62.2,55.0,565,4.32,4.36,2.7
3051,0.27,Ideal,G,VVS2,60.8,57.0,566,4.18,4.2,2.54
3071,0.7,Good,D,VVS2,63.6,57.0,3312,5.61,5.58,3.56
3079,0.7,Good,D,VVS2,63.7,55.0,3312,5.66,5.61,3.59
3112,0.81,Fair,G,VVS2,64.8,56.2,3323,5.82,5.98,3.82
3119,0.79,Ideal,H,VVS2,62.0,55.9,3324,5.88,5.95,3.67
3120,0.7,Ideal,H,VVS2,61.8,55.0,3325,5.69,5.74,3.53
3121,0.7,Ideal,H,VVS2,61.0,56.0,3325,5.75,5.78,3.52
3122,0.7,Ideal,H,VVS2,60.9,56.0,3325,5.76,5.79,3.52
3144,0.71,Very Good,F,VVS2,63.6,56.0,3332,5.65,5.7,3.61
3160,0.72,Ideal,H,VVS2,61.6,56.0,3334,5.75,5.77,3.55
3165,0.64,Ideal,F,VVS2,61.0,56.0,3336,5.55,5.59,3.4
3166,0.61,Ideal,D,VVS2,60.1,57.0,3336,5.53,5.58,3.34
3173,0.72,Very Good,F,VVS2,63.4,56.0,3338,5.68,5.71,3.61
3178,0.71,Very Good,E,VVS2,63.4,58.0,3340,5.64,5.69,3.59
3205,0.53,Ideal,D,VVS2,61.6,56.0,3346,5.21,5.24,3.22
3225,0.63,Ideal,F,VVS2,61.2,56.0,3351,5.53,5.55,3.39
3227,0.72,Ideal,G,VVS2,61.3,56.0,3352,5.76,5.8,3.54
3228,0.72,Ideal,G,VVS2,62.0,55.0,3352,5.72,5.76,3.56
3229,0.72,Ideal,G,VVS2,61.2,57.0,3352,5.76,5.77,3.53
3241,0.71,Very Good,F,VVS2,62.1,60.0,3354,5.69,5.72,3.54
3304,0.69,Good,D,VVS2,61.5,61.0,3369,5.61,5.65,3.46
3314,0.71,Ideal,H,VVS2,61.7,57.0,3371,5.68,5.73,3.53
3315,0.71,Ideal,H,VVS2,61.9,56.0,3371,5.72,5.76,3.55
3324,0.72,Very Good,E,VVS2,59.3,60.0,3374,5.87,5.83,3.47
3330,0.71,Very Good,E,VVS2,61.7,60.0,3376,5.7,5.74,3.53
3340,0.7,Premium,E,VVS2,60.6,60.0,3377,5.74,5.72,3.47
3355,0.71,Premium,E,VVS2,59.0,59.0,3380,5.88,5.82,3.45
3360,0.6,Ideal,D,VVS2,61.9,55.0,3382,5.41,5.45,3.36
3392,0.27,Very Good,E,VVS2,59.7,61.0,567,4.24,4.27,2.54
3393,0.27,Very Good,E,VVS2,59.4,64.0,567,4.16,4.19,2.48
3396,0.32,Ideal,I,VVS2,62.2,54.5,567,4.38,4.42,2.74
3397,0.32,Ideal,I,VVS2,62.0,54.9,567,4.36,4.39,2.71
3398,0.3,Ideal,H,VVS2,62.5,54.0,567,4.3,4.3,2.7
3454,0.7,Premium,E,VVS2,61.0,59.0,3389,5.64,5.71,3.5
3465,0.84,Very Good,I,VVS2,61.7,56.0,3392,6.03,6.07,3.74
3473,0.76,Very Good,G,VVS2,61.5,59.0,3394,5.83,5.91,3.61
3480,0.73,Ideal,G,VVS2,62.1,56.0,3396,5.78,5.81,3.59
3481,0.61,Ideal,D,VVS2,62.2,54.0,3397,5.41,5.45,3.38
3545,0.74,Very Good,G,VVS2,61.3,56.0,3413,5.85,5.9,3.6
3551,0.77,Very Good,F,VVS2,63.5,59.0,3415,5.77,5.72,3.65
3558,0.79,Ideal,H,VVS2,62.4,56.0,3417,5.91,5.94,3.7
3559,0.72,Ideal,H,VVS2,61.7,55.0,3417,5.77,5.8,3.57
3560,0.72,Ideal,H,VVS2,61.8,55.0,3417,5.75,5.77,3.56
3575,0.72,Very Good,F,VVS2,63.6,59.0,3420,5.65,5.7,3.61
3619,0.7,Very Good,E,VVS2,61.5,58.0,3429,5.67,5.71,3.5
3658,0.73,Very Good,F,VVS2,61.9,59.0,3442,5.72,5.84,3.58
3678,0.7,Good,F,VVS2,62.5,58.0,3445,5.68,5.75,3.57
3697,0.72,Very Good,G,VVS2,60.1,60.0,3449,5.79,5.82,3.49
3708,0.7,Premium,G,VVS2,59.3,54.0,3450,5.89,5.78,3.46
3709,0.77,Premium,F,VVS2,60.5,56.0,3450,5.94,5.9,3.58
3712,1.02,Ideal,J,VVS2,62.7,57.0,3451,6.45,6.37,4.02
3734,0.26,Very Good,E,VVS2,60.5,55.0,569,4.1,4.16,2.5
3749,0.23,Premium,F,VVS2,61.3,59.0,571,3.99,3.94,2.43
3750,0.36,Very Good,I,VVS2,59.7,55.0,571,4.65,4.69,2.79
3771,0.9,Premium,J,VVS2,62.5,61.0,3459,6.15,6.08,3.82
3773,0.72,Premium,D,VVS2,60.0,57.0,3459,5.92,5.84,3.53
3789,0.74,Ideal,G,VVS2,62.2,57.0,3462,5.75,5.79,3.59
3790,0.73,Ideal,F,VVS2,61.7,54.0,3463,5.82,5.76,3.57
3792,0.73,Ideal,H,VVS2,61.6,56.0,3463,5.8,5.82,3.57
3814,0.55,Ideal,D,VVS2,60.8,56.0,3468,5.29,5.32,3.23
3815,0.55,Ideal,D,VVS2,61.5,56.0,3468,5.26,5.28,3.24
3816,0.55,Ideal,D,VVS2,60.8,56.0,3468,5.31,5.34,3.24
3846,0.72,Ideal,H,VVS2,60.9,56.0,3475,5.78,5.84,3.54
3853,0.7,Ideal,F,VVS2,61.0,57.0,3478,5.73,5.75,3.5
3889,0.75,Premium,G,VVS2,62.5,56.0,3486,5.84,5.78,3.63
3909,0.71,Very Good,F,VVS2,60.6,58.0,3494,5.76,5.79,3.5
3914,0.72,Very Good,E,VVS2,61.3,60.0,3495,5.73,5.76,3.52
3915,0.74,Ideal,G,VVS2,60.9,58.0,3495,5.85,5.88,3.57
3924,0.81,Ideal,H,VVS2,62.0,57.0,3497,5.93,5.97,3.69
3935,0.71,Ideal,F,VVS2,62.0,57.0,3499,5.7,5.65,3.52
3952,0.71,Ideal,G,VVS2,61.5,56.0,3504,5.74,5.69,3.52
3978,0.73,Very Good,E,VVS2,63.4,58.0,3511,5.68,5.7,3.61
4025,0.73,Ideal,F,VVS2,61.7,54.0,3524,5.76,5.82,3.57
4029,0.75,Ideal,G,VVS2,61.3,55.0,3525,5.85,5.89,3.59
4099,0.73,Ideal,E,VVS2,61.6,55.0,3535,5.8,5.83,3.58
4126,0.64,Very Good,E,VVS2,61.8,59.0,3541,5.51,5.53,3.41
4138,0.86,Ideal,I,VVS2,61.4,58.0,3544,6.07,6.1,3.74
4159,0.76,Very Good,G,VVS2,62.3,57.0,3549,5.79,5.84,3.62
4164,0.75,Very Good,F,VVS2,61.1,55.0,3551,5.85,5.9,3.59
4187,0.95,Ideal,J,VVS2,60.6,57.0,3558,6.4,6.34,3.86
4209,0.73,Very Good,E,VVS2,60.2,60.0,3565,5.81,5.85,3.51
4257,0.71,Very Good,E,VVS2,61.5,61.0,3580,5.7,5.75,3.52
4266,0.78,Ideal,H,VVS2,62.1,56.0,3581,5.88,5.9,3.66
4287,0.7,Ideal,E,VVS2,62.2,54.0,3585,5.68,5.74,3.55
4288,0.7,Ideal,E,VVS2,62.4,54.0,3585,5.66,5.71,3.55
4420,0.71,Very Good,F,VVS2,62.0,56.0,3612,5.71,5.74,3.55
4439,0.74,Very Good,E,VVS2,61.9,59.0,3616,5.74,5.77,3.56
4440,0.73,Good,F,VVS2,59.5,61.0,3616,5.8,5.83,3.46
4447,0.91,Very Good,I,VVS2,63.5,59.0,3618,6.1,6.06,3.86
4450,0.71,Premium,D,VVS2,60.0,58.0,3618,5.92,5.84,3.53
4466,0.7,Very Good,D,VVS2,62.3,56.0,3622,5.66,5.7,3.54
4467,0.7,Very Good,D,VVS2,61.1,57.0,3622,5.7,5.75,3.5
4510,0.74,Ideal,E,VVS2,61.9,57.0,3633,5.79,5.81,3.59
4536,0.76,Very Good,F,VVS2,62.9,58.0,3640,5.76,5.85,3.65
4562,0.7,Ideal,F,VVS2,61.7,58.0,3644,5.66,5.71,3.51
4589,0.76,Very Good,G,VVS2,62.1,56.0,3655,5.81,5.85,3.63
4637,0.73,Very Good,F,VVS2,63.8,59.0,3669,5.69,5.72,3.64
4638,0.95,Premium,J,VVS2,62.6,59.0,3669,6.23,6.26,3.91
4665,0.71,Very Good,D,VVS2,62.7,59.0,3670,5.64,5.69,3.55
4715,0.28,Very Good,E,VVS2,64.0,54.0,572,4.11,4.17,2.65
4716,0.28,Very Good,E,VVS2,60.1,62.0,572,4.25,4.27,2.56
4830,0.73,Very Good,F,VVS2,62.1,57.0,3705,5.74,5.76,3.57
4832,0.71,Ideal,F,VVS2,61.2,55.0,3705,5.73,5.84,3.54
4835,0.77,Ideal,H,VVS2,61.3,56.0,3707,5.91,5.94,3.63
4845,0.75,Ideal,F,VVS2,61.9,54.0,3710,5.83,5.84,3.61
4878,0.73,Ideal,E,VVS2,62.0,57.0,3714,5.79,5.73,3.57
4882,0.76,Ideal,F,VVS2,60.9,57.0,3716,5.89,5.96,3.61
4890,0.9,Good,I,VVS2,64.8,55.0,3718,6.04,6.15,3.95
4893,0.72,Very Good,E,VVS2,62.0,58.0,3719,5.71,5.74,3.55
4919,0.7,Ideal,G,VVS2,61.6,57.0,3725,5.74,5.71,3.53
4936,0.9,Premium,I,VVS2,60.9,59.0,3730,6.25,6.22,3.8
4981,0.7,Ideal,D,VVS2,60.9,59.0,3737,5.69,5.73,3.48
4988,0.75,Ideal,G,VVS2,62.0,56.0,3740,5.79,5.85,3.61
4990,0.72,Ideal,F,VVS2,62.3,57.0,3740,5.72,5.74,3.57
4996,0.7,Ideal,F,VVS2,61.9,54.8,3741,5.68,5.72,3.53
5018,0.72,Ideal,F,VVS2,60.9,56.0,3746,5.77,5.83,3.53
5105,0.61,Ideal,D,VVS2,61.7,56.0,3758,5.47,5.42,3.36
5115,0.71,Very Good,E,VVS2,60.3,52.0,3760,5.8,5.87,3.52
5116,0.79,Ideal,G,VVS2,62.1,56.0,3760,5.89,5.93,3.67
5151,0.76,Premium,E,VVS2,60.6,59.0,3767,5.94,5.85,3.57
5196,0.73,Ideal,G,VVS2,62.4,57.0,3777,5.71,5.79,3.59
5202,0.73,Ideal,E,VVS2,62.0,57.0,3780,5.73,5.79,3.57
5212,0.72,Ideal,F,VVS2,60.9,56.0,3780,5.83,5.77,3.53
5218,0.82,Ideal,H,VVS2,61.4,56.0,3781,6.01,6.05,3.71
5225,0.73,Ideal,G,VVS2,61.0,56.0,3783,5.82,5.86,3.56
5278,0.72,Very Good,E,VVS2,60.5,55.0,3798,5.82,5.85,3.53
